"path","area","kind","size_bytes","line_count","sha256","disposition","target_pattern","reason_codes"
".agents/skills/workspace-manage","codex-runtime","symlink","37","","340a10dd8049bcac6063a373a4173236f3aa658799a30a7573d23bddbd40ce47","replace-symlink-with-native-adapter",".agents/skills/<name>/ thin Codex-first entry",""
".claude/hooks/pre-bash-guard.ts","root","text","1381","43","8fc32590cf84aca4521dc8d11d962f2dbb89bdcbfd0f15a9cba9303ddced0995","retain-and-revalidate",".claude/hooks/pre-bash-guard.ts",""
".claude/hooks/pre-edit-guard.ts","root","text","748","28","43bec8e8b39a3ace9f922f0066e7dcb61fe948f8a7025c14f1cf8c3fb354f712","retain-and-revalidate",".claude/hooks/pre-edit-guard.ts",""
".claude/packages/dtstack/README.md","legacy-package","text","1068","44","3e3eabf81e33e61341b45f642dfa5b5c03159fe5982b63790bec96a51b6a5b93","move-and-refactor","packages/integrations/",""
".claude/packages/dtstack/__tests__/adapters/execute-table.test.ts","legacy-package","text","640","19","b3278a54407a98bfd5209cd68fdcd1614d9d45bca84a7e3ad4bbbc04ac736a9e","move-and-refactor","packages/integrations/",""
".claude/packages/dtstack/__tests__/adapters/playwright.test.ts","legacy-package","text","1954","61","57b409c88924bc343c9554e0ee7a64c4363aa90240e4b06a6320541e74ca61a4","move-and-refactor","packages/integrations/",""
".claude/packages/dtstack/__tests__/cli/dispatch.test.ts","legacy-package","text","2938","119","2a9d533ba682357d11dd15f9d0b41076b90dec8971e9e63f47c0e6a9f436624f","move-and-refactor","packages/integrations/",""
".claude/packages/dtstack/__tests__/cli/help.test.ts","legacy-package","text","1337","42","471163d00e3fd58e251cb5577f5b718ef8beb1d8e436bdd2727cf44b61eb5375","move-and-refactor","packages/integrations/",""
".claude/packages/dtstack/__tests__/core/auth/encrypt.test.ts","legacy-package","text","976","23","fce276c0655e59c34e0b1a39574893bcd24cd823fec2a6af4284dbdd6d8b99d8","move-and-refactor","packages/integrations/",""
".claude/packages/dtstack/__tests__/core/auth/login.test.ts","legacy-package","text","1470","42","3fb2cfe0b31090d740454aaf4c6e023289d1b1667c2295660579cbb84448cbe9","move-and-refactor","packages/integrations/",""
".claude/packages/dtstack/__tests__/core/auth/resolve.test.ts","legacy-package","text","2526","77","18851b291e4ef1675cc80bf90b41c0f360ff77b556c67a71756ee600a8192e4f","move-and-refactor","packages/integrations/",""
".claude/packages/dtstack/__tests__/core/auth/session-store.test.ts","legacy-package","text","1316","41","1a52777276a00c5e00140867e1d5143e37cc77bff4a11b2c17a982e13baa2883","move-and-refactor","packages/integrations/","FORCE_ACTION:1"
".claude/packages/dtstack/__tests__/core/config/load.test.ts","legacy-package","text","1802","83","b5697ea864015deac6947aaf664cac8a10c764eced9f837545affe5c62c8f783","move-and-refactor","packages/integrations/","FORCE_ACTION:1"
".claude/packages/dtstack/__tests__/core/direct/executor.test.ts","legacy-package","text","2320","63","c910c858ce7f0fb82df02797bdda41e251ffd6447049e163bca54c092e0c0213","move-and-refactor","packages/integrations/",""
".claude/packages/dtstack/__tests__/core/http/client.test.ts","legacy-package","text","2315","60","111a77edfdcab2a7de8b127e420866e829dfbb9f51aef21c759dbf2d267e7c68","move-and-refactor","packages/integrations/",""
".claude/packages/dtstack/__tests__/core/platform/assets.test.ts","legacy-package","text","6176","159","7272bd1b1ca3fbef59798b3c597698b5bd1293c747c14e7ebf136f6dfc4f3cb7","move-and-refactor","packages/integrations/",""
".claude/packages/dtstack/__tests__/core/platform/batch.test.ts","legacy-package","text","10255","279","d4f21de512af7d9223647e42e5a4a80d3e47693a84d4a85605c90035d5a1a46c","move-and-refactor","packages/integrations/","NONDETERMINISTIC_INPUT:5"
".claude/packages/dtstack/__tests__/core/platform/project.test.ts","legacy-package","text","2486","60","8f75229ea8265a7dc8334827a0777253c5a71243d5b0436183dc150d4880cff1","move-and-refactor","packages/integrations/",""
".claude/packages/dtstack/__tests__/docs/usage-mirror.test.ts","legacy-package","text","836","32","b3c41d42b4537cb4a8a00c990f1bee9a6e6e5a2b907a5efd5cca9cb92ea56271","move-and-refactor","packages/integrations/",""
".claude/packages/dtstack/__tests__/sdk/auth-config.test.ts","legacy-package","text","855","23","6193aee0b1e47937e1f0a1bcfad12626b04cee38e8151a659e604c60f9ff7f50","move-and-refactor","packages/integrations/",""
".claude/packages/dtstack/__tests__/sdk/exec-sql.test.ts","legacy-package","text","1390","40","86ec1d7ae2edbd998e91484e9b79937b07f3d1574bd26666c3d6d3f16dc44bf6","move-and-refactor","packages/integrations/",""
".claude/packages/dtstack/__tests__/sdk/precond-setup.test.ts","legacy-package","text","6579","177","fa22da0830e5d7a05c977630d2d1ceaaeea5d6be91a85095c3ec61af64903f92","move-and-refactor","packages/integrations/","FORCE_ACTION:1"
".claude/packages/dtstack/__tests__/smoke.test.ts","legacy-package","text","222","9","499962cd84aa32a0435a73018d91488f5c00071c6174eb4d33c2f602be49c85c","move-and-refactor","packages/integrations/",""
".claude/packages/dtstack/docs/usage.md","legacy-package","text","6984","208","d516d92d0c2cd4806a860763ba190372f750482d81b036ef806a6efd1a2e413c","move-and-refactor","packages/integrations/",""
".claude/packages/dtstack/package.json","legacy-package","text","769","38","c69fa7aaaa6d0db6c1c4d47b673caa1123fce7b060779a1df0de592ae7249c3f","move-and-refactor","packages/integrations/",""
".claude/packages/dtstack/src/adapters/execute-table.ts","legacy-package","text","5411","172","642f724cf3baa979954f52843513363810464ee301cb36c19e2f68082ead5c56","move-and-refactor","packages/integrations/","WAIT_FOR_TIMEOUT:1"
".claude/packages/dtstack/src/adapters/playwright.ts","legacy-package","text","3012","98","d18d58d0f887b4770860c35a0bf9578443ef1ea2e4367ad2df5093acdc1c5b50","move-and-refactor","packages/integrations/",""
".claude/packages/dtstack/src/cli.ts","legacy-package","text","1627","57","426207c1190d08ac49a31a827151b0eeb14a54e5732aa9310958f6111cf66ca3","move-and-refactor","packages/integrations/","CATCH_BLOCK:1"
".claude/packages/dtstack/src/cli/dispatch.ts","legacy-package","text","8557","233","96297d3c9ff83ef6d288896ea8a4fb4d965449b2144b594bc9fab033ab050de4","move-and-refactor","packages/integrations/",""
".claude/packages/dtstack/src/cli/parse-args.ts","legacy-package","text","1992","52","4f3c35809c02a3006382dac8b7c9765415597fc0a37a1dfb774d25e4e447cabf","move-and-refactor","packages/integrations/",""
".claude/packages/dtstack/src/core/auth/encrypt.ts","legacy-package","text","445","14","dc5294412f6d02d2474ab16cfa893f1df2579d40e83ffa7d4276760fb4482516","move-and-refactor","packages/integrations/",""
".claude/packages/dtstack/src/core/auth/login.ts","legacy-package","text","2581","84","b507be67b4390ecb3cd0c8753e286255cb20c1b45beb73de4f94e7b3fe73b5be","move-and-refactor","packages/integrations/",""
".claude/packages/dtstack/src/core/auth/resolve.ts","legacy-package","text","1369","41","c69b852b0f701643bab69b26c12e5865797b358f0325f36174a23ce8388a9578","move-and-refactor","packages/integrations/",""
".claude/packages/dtstack/src/core/auth/session-store.ts","legacy-package","text","1198","46","eeb7c317bd398f0461a058939c781cc6ea2ad4f659b42fbf5ea1e1707d1ed62e","move-and-refactor","packages/integrations/","CATCH_BLOCK:1"
".claude/packages/dtstack/src/core/config/load.ts","legacy-package","text","767","24","e668802a3b4cb588c9ed217e09ba460401f1e2cac3a079655b26c46cbac943f9","move-and-refactor","packages/integrations/",""
".claude/packages/dtstack/src/core/config/schema.ts","legacy-package","text","619","23","d15c610fe12ac4b7b197c5afb2a7860bec17ea514fee117a85e3287077990c52","move-and-refactor","packages/integrations/",""
".claude/packages/dtstack/src/core/direct/executor.ts","legacy-package","text","1794","67","f34810c52be2107ea57ab69fcb7cb2d2a468c34950b2987198b062c35c78f1ea","move-and-refactor","packages/integrations/",""
".claude/packages/dtstack/src/core/direct/hive.ts","legacy-package","text","2451","85","c3a9c63a5d573c640aaf8ae403bfe6ad21dd7a8807407530b2dbff400589a075","move-and-refactor","packages/integrations/",""
".claude/packages/dtstack/src/core/direct/mysql.ts","legacy-package","text","1583","61","889d48812c8e183ebb568008796e9d275bc125e65e0a96ea5c4fe9287ba7a8ea","move-and-refactor","packages/integrations/",""
".claude/packages/dtstack/src/core/direct/types.ts","legacy-package","text","615","23","e17b91b81a085fb6088fe20efd93c3f2ff5bad452968e042d8c3efb673e5499a","move-and-refactor","packages/integrations/",""
".claude/packages/dtstack/src/core/http/client.ts","legacy-package","text","2501","82","78c33faffcdeb5c71ceb51860a95e9ab7942c242332878c5ec9fdff3a7ea2de4","move-and-refactor","packages/integrations/",""
".claude/packages/dtstack/src/core/platform/assets.ts","legacy-package","text","7791","251","4ae8cff037b1d493c48cfa6f2ab1dbb10b4fddb187f1d073db28f356848ddd59","move-and-refactor","packages/integrations/","NONDETERMINISTIC_INPUT:6"
".claude/packages/dtstack/src/core/platform/batch.ts","legacy-package","text","11700","370","b7b57eb1e0d972d3bb5c90e3863fb380500e1d2cd98a62e69bda540269ad76f0","move-and-refactor","packages/integrations/","CATCH_BLOCK:4"
".claude/packages/dtstack/src/core/platform/project.ts","legacy-package","text","2258","69","75ce670d6930a86a59e35c1ee2b2482e8999b35cfa4ebdb07ebd21fea70b4214","move-and-refactor","packages/integrations/",""
".claude/packages/dtstack/src/core/platform/script.ts","legacy-package","text","9339","268","c23a4087d14ee1f89bac18b06ccc6764f1fad7138607c3bb7dbeefdebccd4295","move-and-refactor","packages/integrations/","CATCH_BLOCK:1;NONDETERMINISTIC_INPUT:2"
".claude/packages/dtstack/src/help/index.ts","legacy-package","text","6928","192","70957058b3857e75c637c3d42ad5601666878216b265b2641b4c8ce08360189f","move-and-refactor","packages/integrations/",""
".claude/packages/dtstack/src/index.ts","legacy-package","text","899","21","63adf74b054e329d8495a46c11796cf0a1af7da78149592a42ef747288652f0b","move-and-refactor","packages/integrations/",""
".claude/packages/dtstack/src/sdk/auth.ts","legacy-package","text","1918","52","20e1386dff256828e12acb3e4025da5e86e122d9367100d3121f904c56e09329","move-and-refactor","packages/integrations/",""
".claude/packages/dtstack/src/sdk/ensure-project.ts","legacy-package","text","413","11","a5ed2a92d77ca1103c15281c6b6fc77fa1fe63fa36d8c3aad9306539a1da55bd","move-and-refactor","packages/integrations/",""
".claude/packages/dtstack/src/sdk/exec-sql.ts","legacy-package","text","2345","69","d252c37df51caad296ecd0f6137d5bb2c4784cf3a7c233b6a9772019070bc0d9","move-and-refactor","packages/integrations/",""
".claude/packages/dtstack/src/sdk/ping-sql.ts","legacy-package","text","1036","31","e956b30889c918ec34c28f05662c680469a272fad812d823a316397f1269124e","move-and-refactor","packages/integrations/",""
".claude/packages/dtstack/src/sdk/precond-setup.ts","legacy-package","text","6473","195","008ef2fe70c033cafce1aeec6c8b18ee37530c46eb4162cfaba28555c65f72dd","move-and-refactor","packages/integrations/",""
".claude/packages/dtstack/tsconfig.json","legacy-package","text","158","9","6ad5cbcfcc0d4e220f4415d2008947f11dc2f5f62c892e670976727fd98b235f","move-and-refactor","packages/integrations/",""
".claude/plugins/lanhu/README.md","legacy-integration","text","2254","57","99e6e7b3257b44b58621e06bb1cb4c5982bcb6eaf6db5549e1b7acebb5d14221","extract-or-remove-vendored-integration","packages/integrations/<name>/ or remove vendored fork",""
".claude/plugins/lanhu/__tests__/fetch.test.ts","legacy-integration","text","17319","491","e336deb761f6a1f3dd1a3844df5924281858bbf260055853d430f169804c5058","extract-or-remove-vendored-integration","packages/integrations/<name>/ or remove vendored fork","CATCH_BLOCK:4;FORCE_ACTION:1"
".claude/plugins/lanhu/fetch.ts","legacy-integration","text","37039","1107","018f38c34de72135975f6c0d8f2c56991949656b8353ed3d898bddb32322da32","extract-or-remove-vendored-integration","packages/integrations/<name>/ or remove vendored fork","CATCH_BLOCK:2;NONDETERMINISTIC_INPUT:2"
".claude/plugins/lanhu/mcp-bridge/bridge.py","legacy-integration","text","11881","351","d829469de08b1277381e00aeef9532897f3edf11c457ae316ec7d63d495c71fe","extract-or-remove-vendored-integration","packages/integrations/<name>/ or remove vendored fork",""
".claude/plugins/lanhu/mcp-bridge/lanhu-mcp/.gitignore","legacy-integration","text","192","24","509d6696498a7a6b37285249457e46c3a506275f95d633c1ca194cf0a405f2c1","extract-or-remove-vendored-integration","packages/integrations/<name>/ or remove vendored fork",""
".claude/plugins/lanhu/mcp-bridge/lanhu-mcp/LICENSE","legacy-integration","text","1087","23","48d1ab8a0cafc48d785b2d3f2c36ae43ca004f125e0c2acf3c0c7d1d72458577","extract-or-remove-vendored-integration","packages/integrations/<name>/ or remove vendored fork",""
".claude/plugins/lanhu/mcp-bridge/lanhu-mcp/README.md","legacy-integration","text","1067","23","c50a5a4f9a4c7f929db7c4b250a2d67fe41c878f4ff2285d9b823943233229ec","extract-or-remove-vendored-integration","packages/integrations/<name>/ or remove vendored fork",""
".claude/plugins/lanhu/mcp-bridge/lanhu-mcp/VENDOR.md","legacy-integration","text","2349","54","ec81bd6e17e5125681d66d9e6309973d2d981a5395bd5f5655470325194aad1a","extract-or-remove-vendored-integration","packages/integrations/<name>/ or remove vendored fork",""
".claude/plugins/lanhu/mcp-bridge/lanhu-mcp/lanhu_mcp_server.py","legacy-integration","text","247588","6039","8cb88487b755fcd01a2efe00d8f4838438723994b706c95628196fd2d2e82602","extract-or-remove-vendored-integration","packages/integrations/<name>/ or remove vendored fork",""
".claude/plugins/lanhu/mcp-bridge/lanhu-mcp/pyproject.toml","legacy-integration","text","3509","160","bec1cc05bd26db4dff45c555d40ccab28272ee4aba443884271a80df6cf8b936","extract-or-remove-vendored-integration","packages/integrations/<name>/ or remove vendored fork",""
".claude/plugins/lanhu/mcp-bridge/refresh-cookie.py","legacy-integration","text","7124","223","826cc6d07ae0eb51bb08a7a9d49c10ed07838b9a46c49d531c0e715c4862f7af","extract-or-remove-vendored-integration","packages/integrations/<name>/ or remove vendored fork",""
".claude/plugins/lanhu/mcp-bridge/setup.sh","legacy-integration","text","676","28","b75aa6b2359a61974bf408a833f4e3f0ff6feb2c312ceb85916c187c5752476d","extract-or-remove-vendored-integration","packages/integrations/<name>/ or remove vendored fork",""
".claude/plugins/lanhu/plugin.json","legacy-integration","text","326","11","a0eb52bbc1d496e3791705b69256514bfeb7d33f871d97ef7b2d264b21f4b29d","extract-or-remove-vendored-integration","packages/integrations/<name>/ or remove vendored fork",""
".claude/plugins/notify/README.md","legacy-integration","text","3012","101","502753dae3eb5d639302265879f9c97ca6e6eb3f0f4d8533352ec00eea72938b","extract-or-remove-vendored-integration","packages/integrations/<name>/ or remove vendored fork",""
".claude/plugins/notify/__tests__/send.test.ts","legacy-integration","text","17970","479","4135252331327cff22ae2cca4d01e33f4457b4ec57b4bdc9b80025768b383762","extract-or-remove-vendored-integration","packages/integrations/<name>/ or remove vendored fork",""
".claude/plugins/notify/plugin.json","legacy-integration","text","365","15","7654e227bcb929bb482bffa602cd75d0d62e6eaeee58ba105d36c2ca60eaeb19","extract-or-remove-vendored-integration","packages/integrations/<name>/ or remove vendored fork",""
".claude/plugins/notify/send.ts","legacy-integration","text","30896","899","347fa4020c2a565a54ef832e3d2729d39a7bae40055f9cc00f38f2cc8b4252bc","extract-or-remove-vendored-integration","packages/integrations/<name>/ or remove vendored fork","CATCH_BLOCK:1;NONDETERMINISTIC_INPUT:2"
".claude/plugins/zentao/NOTES.md","legacy-integration","text","1815","30","191ee933b97d143b8ce21daf51c0aba47b4071bd4f9198e2bb6abe70c36e7398","extract-or-remove-vendored-integration","packages/integrations/<name>/ or remove vendored fork",""
".claude/plugins/zentao/README.md","legacy-integration","text","1595","59","278f3eb354cc81e4bf6ca75901c8f38a3064303f33f6e3223eb74da073ce0bf6","extract-or-remove-vendored-integration","packages/integrations/<name>/ or remove vendored fork",""
".claude/plugins/zentao/__tests__/client.test.ts","legacy-integration","text","764","23","deb90f5d00b208c169be2ef36e6e25d88a6a0116410c8a1222024bc70d699dfb","extract-or-remove-vendored-integration","packages/integrations/<name>/ or remove vendored fork",""
".claude/plugins/zentao/__tests__/create.test.ts","legacy-integration","text","5832","174","76d68adb38f04dc9cf2f50f8c7591ac6c105bf900e2f411703b29ec0a183d9e3","extract-or-remove-vendored-integration","packages/integrations/<name>/ or remove vendored fork","CATCH_BLOCK:1;FORCE_ACTION:1"
".claude/plugins/zentao/__tests__/fetch.test.ts","legacy-integration","text","13064","392","2d159bbd2cc02ed34fb18109c9cb1880db89d3e9d08c99618c113394b370a055","extract-or-remove-vendored-integration","packages/integrations/<name>/ or remove vendored fork","CATCH_BLOCK:4;FORCE_ACTION:1"
".claude/plugins/zentao/__tests__/fixtures/bug-synthetic.json","legacy-integration","text","1850","54","ad4dec9b9aa225b5dd3c2a5308b3568b8cd2b2e7ca0e89bc9619d3352f904fe8","extract-or-remove-vendored-integration","packages/integrations/<name>/ or remove vendored fork",""
".claude/plugins/zentao/__tests__/html-md.test.ts","legacy-integration","text","1490","44","be01117fdce3f928e2fdf82b90e8116d3ac50f0d3ac015ac5a063de1f4ee6906","extract-or-remove-vendored-integration","packages/integrations/<name>/ or remove vendored fork",""
".claude/plugins/zentao/__tests__/parse.test.ts","legacy-integration","text","3312","80","21da761a82edfe146e7a76a40a8afa120a4831b2e01e0cd71c715afc7eba6132","extract-or-remove-vendored-integration","packages/integrations/<name>/ or remove vendored fork",""
".claude/plugins/zentao/__tests__/session.test.ts","legacy-integration","text","4357","119","9bb313e6636700791414c736b5aab010b678a3fd6abdd5a9a74ef040cddef483","extract-or-remove-vendored-integration","packages/integrations/<name>/ or remove vendored fork",""
".claude/plugins/zentao/client.ts","legacy-integration","text","3472","107","b7ae94980d6400a1396bb0eb6d9e1f2c4e5c257b4cd2ecddeed074c446a9ab6a","extract-or-remove-vendored-integration","packages/integrations/<name>/ or remove vendored fork","CATCH_BLOCK:2"
".claude/plugins/zentao/create.ts","legacy-integration","text","9312","252","bb9ce36c15f3b5f8c0c21cb20bcd630e48c95663ddb723f79f45d7c712e0f966","extract-or-remove-vendored-integration","packages/integrations/<name>/ or remove vendored fork","CATCH_BLOCK:4"
".claude/plugins/zentao/fetch.ts","legacy-integration","text","10704","275","7953e836cd69b6d59a1c4dc7d05faff2b327caa652293c8ed9110a85b1844b40","extract-or-remove-vendored-integration","packages/integrations/<name>/ or remove vendored fork","CATCH_BLOCK:2"
".claude/plugins/zentao/html-md.ts","legacy-integration","text","1640","53","7243ed4e353247902f7e66be7afba94a852ec185530a0586e269d33f4b8ce8d5","extract-or-remove-vendored-integration","packages/integrations/<name>/ or remove vendored fork",""
".claude/plugins/zentao/parse.ts","legacy-integration","text","9897","300","656b41b3ec14318c631d5eca79e31003b51d80c0d2ad39784231cd6ef700f24c","extract-or-remove-vendored-integration","packages/integrations/<name>/ or remove vendored fork",""
".claude/plugins/zentao/plugin.json","legacy-integration","text","545","13","fa08f349600cb8a0784501032d1ab2c01711b8f3d955e9e1b193b503eb2ed561","extract-or-remove-vendored-integration","packages/integrations/<name>/ or remove vendored fork",""
".claude/plugins/zentao/session.ts","legacy-integration","text","4447","127","06952949bc5a5b07bdc60c85493ee4e82ee1a2f742d6c4a86380133512620661","extract-or-remove-vendored-integration","packages/integrations/<name>/ or remove vendored fork","CATCH_BLOCK:1"
".claude/plugins/zentao/zentao.config.yaml","legacy-integration","text","232","19","30c1eec2989cd744e082e7ff7f17bfe24ec635b700a6562c38ca40c4277bb3a1","extract-or-remove-vendored-integration","packages/integrations/<name>/ or remove vendored fork",""
".claude/prompt/_shared/case-format-sample.md","root","text","11407","120","539e45b504629851a5f9a41bb5840c4900f6c90ad32bef141f349be893ca0828","retain-and-revalidate",".claude/prompt/_shared/case-format-sample.md",""
".claude/prompt/_shared/case-format-sample.xmind.md","root","text","11066","166","ee618ca6c9604e721eb043162b76ca3b13be606f5d33f8ae1d8430bf8383e6a5","retain-and-revalidate",".claude/prompt/_shared/case-format-sample.xmind.md",""
".claude/prompt/_shared/case-qa.md","root","text","5411","53","29ac56fb6e5b8994d4d33bdd05f78bde8d1fc423694d680427e4b008c02c4611","retain-and-revalidate",".claude/prompt/_shared/case-qa.md",""
".claude/prompt/_shared/output-artifacts.md","root","text","1495","24","4933e77640684ea6d8ecd9bc40f71ff1f7fe5e0205cc0342eb80ac28188eb970","retain-and-revalidate",".claude/prompt/_shared/output-artifacts.md",""
".claude/rules/comments.md","root","text","1376","44","c54254cad5136d2eee60a3573e01c193681068dde75509f82d354cfd5345aca6","retain-and-revalidate",".claude/rules/comments.md",""
".claude/rules/git-workflow.md","root","text","2291","37","22f545ae8e20ed7fbf3a41774b76940c1da8acba0d036563e97e78a6742afb05","retain-and-revalidate",".claude/rules/git-workflow.md",""
".claude/rules/repo-readonly.md","root","text","1131","19","ad940d1f85e7f37dc723e0396b70d8dccda43b1ac1eef63179c920b2c5161333","retain-and-revalidate",".claude/rules/repo-readonly.md",""
".claude/rules/testing.md","root","text","1344","21","09d8ed5813b32d382ccf7ec91e914b97a292577671b2e10d3a0c7e8c5427e15d","retain-and-revalidate",".claude/rules/testing.md",""
".claude/rules/workspace-boundary.md","root","text","822","20","10367820ee10df75ad582446c0a0626a537df80fbdc06fcd829cbd8a061591ce","retain-and-revalidate",".claude/rules/workspace-boundary.md",""
".claude/scripts/_shared/bin/kata","legacy-runtime-code","text","242","5","3e8d08250fb5e6a420507167082c4191cc0ad72d4ba46ce3d5097cf16267aac0","move-and-refactor","apps/kata-cli or packages/{core,contracts,workspace,automation}/",""
".claude/scripts/_shared/cli/README.md","legacy-runtime-code","text","3676","67","7e4e0ea09df6e9c13bb2bc32a83a78fde562fe1ff597b46927b7c0159fb84bf9","move-and-refactor","apps/kata-cli or packages/{core,contracts,workspace,automation}/",""
".claude/scripts/_shared/cli/agents-audit.ts","legacy-runtime-code","text","1876","45","8302f68bee9fdf1fb36bfc8cefe5c40396b7c4b110193119e8ec5613846792cd","move-and-refactor","apps/kata-cli or packages/{core,contracts,workspace,automation}/",""
".claude/scripts/_shared/cli/archive-gen.ts","legacy-runtime-code","text","22788","697","cb7f87da66664c8374b862a682069fe267d68fe7ef927d4c78a69ef9b5782d1f","move-and-refactor","apps/kata-cli or packages/{core,contracts,workspace,automation}/","CATCH_BLOCK:4"
".claude/scripts/_shared/cli/automation-normalize.ts","legacy-runtime-code","text","3237","105","458c3e62dccb3694abe58d58b51cc61b70e9185b5ad0ac8e9f139d3421684f6e","move-and-refactor","apps/kata-cli or packages/{core,contracts,workspace,automation}/","NONDETERMINISTIC_INPUT:1"
".claude/scripts/_shared/cli/automation-scaffold.ts","legacy-runtime-code","text","1953","72","b47ecae16e1bb20ac5e784052879f965db72760202edc0ed0ed558d9be2dc305","move-and-refactor","apps/kata-cli or packages/{core,contracts,workspace,automation}/",""
".claude/scripts/_shared/cli/automation.ts","legacy-runtime-code","text","2877","58","626a2ad894cb3da85d9fb1159768b402ebdbeacd0c2be6a35e4c8c5ac69af697","move-and-refactor","apps/kata-cli or packages/{core,contracts,workspace,automation}/",""
".claude/scripts/_shared/cli/case-convert/formats.ts","legacy-runtime-code","text","13377","388","6b9de7ba31448f7fa55c68c2f915bc297571c50668b3e3ebcace0ea09c7b072b","move-and-refactor","apps/kata-cli or packages/{core,contracts,workspace,automation}/",""
".claude/scripts/_shared/cli/case-convert/model.ts","legacy-runtime-code","text","10620","340","9e6e1efc84f981cb8084c011460f6fba4c88af47a6215d3926092530e9854541","move-and-refactor","apps/kata-cli or packages/{core,contracts,workspace,automation}/",""
".claude/scripts/_shared/cli/cases-compare.ts","legacy-runtime-code","text","5217","151","1c09b58bbd529eb7a8d9752dc5e2c85dbf2ce25b1055c8d8963b27d68b34522f","move-and-refactor","apps/kata-cli or packages/{core,contracts,workspace,automation}/",""
".claude/scripts/_shared/cli/cases-convert.ts","legacy-runtime-code","text","1351","33","dcfe66d64e6d215ab380eb5eb8401dc0822b94ae261db1793dff06262dd5bc75","move-and-refactor","apps/kata-cli or packages/{core,contracts,workspace,automation}/",""
".claude/scripts/_shared/cli/cases-e2e.ts","legacy-runtime-code","text","1938","53","e8811b3ac86fb99ec7c2d7e5bd2f09b40128b923b53905400f3821b4935f3e2a","move-and-refactor","apps/kata-cli or packages/{core,contracts,workspace,automation}/",""
